Payroll_ID,Employee_ID,Bonus,Salary_Band,Monthly_Salary,Annual_Salary,Monthly_Tax _deduction,Monthly_Insurance_deductions,Monthly_Pension_deductions,PF_contribution,Salary_creation_timestamp
45,10001,10000,50000-55000,3000,55000,1000,600,200,100,21-05-00
46,10002,10000,50000-55000,3000,55000,1000,600,200,100,20-03-98
47,10003,10000,50000-55000,3000,55000,1000,600,200,100,21-03-98
48,10004,10000,50000-55000,3000,55000,1000,600,200,100,22-03-98
49,10005,10000,55000-75000,3200,65000,1000,600,200,100,23-03-98
50,10006,10000,50000-55000,3000,55000,1000,600,200,100,24-03-98
51,10007,10000,50000-55000,3000,55000,1000,600,200,100,25-03-98
52,10008,10000,50000-55000,3000,55000,1000,600,200,100,26-03-98
53,10009,10000,90000-95000,4000,92000,1200,600,200,100,27-03-98
54,10010,10000,50000-55000,3000,52000,1000,600,200,100,28-03-98
